Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_conv0, 224, 224, 7, 7, 3, 64, 2,
features_denseblock1_denselayer1_conv1, 56, 56, 1, 1, 64, 128, 1,
features_denseblock1_denselayer1_conv2, 56, 56, 3, 3, 128, 32, 1,
features_denseblock1_denselayer2_conv1, 56, 56, 1, 1, 96, 128, 1,
features_denseblock1_denselayer2_conv2, 56, 56, 3, 3, 128, 32, 1,
features_denseblock1_denselayer3_conv1, 56, 56, 1, 1, 128, 128, 1,
features_denseblock1_denselayer3_conv2, 56, 56, 3, 3, 128, 32, 1,
features_denseblock1_denselayer4_conv1, 56, 56, 1, 1, 160, 128, 1,
features_denseblock1_denselayer4_conv2, 56, 56, 3, 3, 128, 32, 1,
features_denseblock1_denselayer5_conv1, 56, 56, 1, 1, 192, 128, 1,
features_denseblock1_denselayer5_conv2, 56, 56, 3, 3, 128, 32, 1,
features_denseblock1_denselayer6_conv1, 56, 56, 1, 1, 224, 128, 1,
features_denseblock1_denselayer6_conv2, 56, 56, 3, 3, 128, 32, 1,
features_transition1_conv, 56, 56, 1, 1, 256, 128, 1,
features_denseblock2_denselayer1_conv1, 28, 28, 1, 1, 128, 128, 1,
features_denseblock2_denselayer1_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer2_conv1, 28, 28, 1, 1, 160, 128, 1,
features_denseblock2_denselayer2_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer3_conv1, 28, 28, 1, 1, 192, 128, 1,
features_denseblock2_denselayer3_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer4_conv1, 28, 28, 1, 1, 224, 128, 1,
features_denseblock2_denselayer4_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer5_conv1, 28, 28, 1, 1, 256, 128, 1,
features_denseblock2_denselayer5_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer6_conv1, 28, 28, 1, 1, 288, 128, 1,
features_denseblock2_denselayer6_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer7_conv1, 28, 28, 1, 1, 320, 128, 1,
features_denseblock2_denselayer7_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer8_conv1, 28, 28, 1, 1, 352, 128, 1,
features_denseblock2_denselayer8_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer9_conv1, 28, 28, 1, 1, 384, 128, 1,
features_denseblock2_denselayer9_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer10_conv1, 28, 28, 1, 1, 416, 128, 1,
features_denseblock2_denselayer10_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer11_conv1, 28, 28, 1, 1, 448, 128, 1,
features_denseblock2_denselayer11_conv2, 28, 28, 3, 3, 128, 32, 1,
features_denseblock2_denselayer12_conv1, 28, 28, 1, 1, 480, 128, 1,
features_denseblock2_denselayer12_conv2, 28, 28, 3, 3, 128, 32, 1,
features_transition2_conv, 28, 28, 1, 1, 512, 256, 1,
features_denseblock3_denselayer1_conv1, 14, 14, 1, 1, 256, 128, 1,
features_denseblock3_denselayer1_conv2, 14, 14, 3, 3, 128, 32, 1,
