Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

conv1_conv, 224, 224, 7, 7, 3, 64, 2,
conv2_conv, 56, 56, 1, 1, 64, 64, 1,
conv3_conv, 56, 56, 3, 3, 64, 192, 1,
inception3a_branch1_conv, 28, 28, 1, 1, 192, 64, 1,
inception3a_branch2_0_conv, 28, 28, 1, 1, 192, 96, 1,
inception3a_branch2_1_conv, 28, 28, 3, 3, 96, 128, 1,
inception3a_branch3_0_conv, 28, 28, 1, 1, 192, 16, 1,
inception3a_branch3_1_conv, 28, 28, 3, 3, 16, 32, 1,
inception3a_branch4_1_conv, 28, 28, 1, 1, 192, 32, 1,
inception3b_branch1_conv, 28, 28, 1, 1, 256, 128, 1,
inception3b_branch2_0_conv, 28, 28, 1, 1, 256, 128, 1,
inception3b_branch2_1_conv, 28, 28, 3, 3, 128, 192, 1,
inception3b_branch3_0_conv, 28, 28, 1, 1, 256, 32, 1,
inception3b_branch3_1_conv, 28, 28, 3, 3, 32, 96, 1,
inception3b_branch4_1_conv, 28, 28, 1, 1, 256, 64, 1,
inception4a_branch1_conv, 14, 14, 1, 1, 480, 192, 1,
inception4a_branch2_0_conv, 14, 14, 1, 1, 480, 96, 1,
inception4a_branch2_1_conv, 14, 14, 3, 3, 96, 208, 1,
inception4a_branch3_0_conv, 14, 14, 1, 1, 480, 16, 1,
inception4a_branch3_1_conv, 14, 14, 3, 3, 16, 48, 1,
inception4a_branch4_1_conv, 14, 14, 1, 1, 480, 64, 1,
inception4b_branch1_conv, 14, 14, 1, 1, 512, 160, 1,
inception4b_branch2_0_conv, 14, 14, 1, 1, 512, 112, 1,
inception4b_branch2_1_conv, 14, 14, 3, 3, 112, 224, 1,
inception4b_branch3_0_conv, 14, 14, 1, 1, 512, 24, 1,
inception4b_branch3_1_conv, 14, 14, 3, 3, 24, 64, 1,
inception4b_branch4_1_conv, 14, 14, 1, 1, 512, 64, 1,
inception4c_branch1_conv, 14, 14, 1, 1, 512, 128, 1,
inception4c_branch2_0_conv, 14, 14, 1, 1, 512, 128, 1,
inception4c_branch2_1_conv, 14, 14, 3, 3, 128, 256, 1,
inception4c_branch3_0_conv, 14, 14, 1, 1, 512, 24, 1,
inception4c_branch3_1_conv, 14, 14, 3, 3, 24, 64, 1,
inception4c_branch4_1_conv, 14, 14, 1, 1, 512, 64, 1,
inception4d_branch1_conv, 14, 14, 1, 1, 512, 112, 1,
inception4d_branch2_0_conv, 14, 14, 1, 1, 512, 144, 1,
inception4d_branch2_1_conv, 14, 14, 3, 3, 144, 288, 1,
inception4d_branch3_0_conv, 14, 14, 1, 1, 512, 32, 1,
inception4d_branch3_1_conv, 14, 14, 3, 3, 32, 64, 1,
inception4d_branch4_1_conv, 14, 14, 1, 1, 512, 64, 1,
inception4e_branch1_conv, 14, 14, 1, 1, 528, 256, 1,
inception4e_branch2_0_conv, 14, 14, 1, 1, 528, 160, 1,
inception4e_branch2_1_conv, 14, 14, 3, 3, 160, 320, 1,
inception4e_branch3_0_conv, 14, 14, 1, 1, 528, 32, 1,
inception4e_branch3_1_conv, 14, 14, 3, 3, 32, 128, 1,
inception4e_branch4_1_conv, 14, 14, 1, 1, 528, 128, 1,
inception5a_branch1_conv, 7, 7, 1, 1, 832, 256, 1,
inception5a_branch2_0_conv, 7, 7, 1, 1, 832, 160, 1,
inception5a_branch2_1_conv, 7, 7, 3, 3, 160, 320, 1,
inception5a_branch3_0_conv, 7, 7, 1, 1, 832, 32, 1,
inception5a_branch3_1_conv, 7, 7, 3, 3, 32, 128, 1,
inception5a_branch4_1_conv, 7, 7, 1, 1, 832, 128, 1,
inception5b_branch1_conv, 7, 7, 1, 1, 832, 384, 1,
inception5b_branch2_0_conv, 7, 7, 1, 1, 832, 192, 1,
inception5b_branch2_1_conv, 7, 7, 3, 3, 192, 384, 1,
inception5b_branch3_0_conv, 7, 7, 1, 1, 832, 48, 1,
inception5b_branch3_1_conv, 7, 7, 3, 3, 48, 128, 1,
inception5b_branch4_1_conv, 7, 7, 1, 1, 832, 128, 1,
fc, 1, 1, 1, 1, 1024, 1000, 1,
