Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv2d_1a_3x3_conv, 224, 224, 3, 3, 3, 32, 2,
Conv2d_2a_3x3_conv, 111, 111, 3, 3, 32, 32, 1,
Conv2d_2b_3x3_conv, 109, 109, 3, 3, 32, 64, 1,
Conv2d_3b_1x1_conv, 54, 54, 1, 1, 64, 80, 1,
Conv2d_4a_3x3_conv, 54, 54, 3, 3, 80, 192, 1,
Mixed_5b_branch1x1_conv, 25, 25, 1, 1, 192, 64, 1,
Mixed_5b_branch5x5_1_conv, 25, 25, 1, 1, 192, 48, 1,
Mixed_5b_branch5x5_2_conv, 25, 25, 5, 5, 48, 64, 1,
Mixed_5b_branch3x3dbl_1_conv, 25, 25, 1, 1, 192, 64, 1,
Mixed_5b_branch3x3dbl_2_conv, 25, 25, 3, 3, 64, 96, 1,
Mixed_5b_branch3x3dbl_3_conv, 25, 25, 3, 3, 96, 96, 1,
Mixed_5b_branch_pool_conv, 25, 25, 1, 1, 192, 32, 1,
Mixed_5c_branch1x1_conv, 25, 25, 1, 1, 256, 64, 1,
Mixed_5c_branch5x5_1_conv, 25, 25, 1, 1, 256, 48, 1,
Mixed_5c_branch5x5_2_conv, 25, 25, 5, 5, 48, 64, 1,
Mixed_5c_branch3x3dbl_1_conv, 25, 25, 1, 1, 256, 64, 1,
Mixed_5c_branch3x3dbl_2_conv, 25, 25, 3, 3, 64, 96, 1,
Mixed_5c_branch3x3dbl_3_conv, 25, 25, 3, 3, 96, 96, 1,
Mixed_5c_branch_pool_conv, 25, 25, 1, 1, 256, 64, 1,
Mixed_5d_branch1x1_conv, 25, 25, 1, 1, 288, 64, 1,
Mixed_5d_branch5x5_1_conv, 25, 25, 1, 1, 288, 48, 1,
Mixed_5d_branch5x5_2_conv, 25, 25, 5, 5, 48, 64, 1,
Mixed_5d_branch3x3dbl_1_conv, 25, 25, 1, 1, 288, 64, 1,
Mixed_5d_branch3x3dbl_2_conv, 25, 25, 3, 3, 64, 96, 1,
Mixed_5d_branch3x3dbl_3_conv, 25, 25, 3, 3, 96, 96, 1,
Mixed_5d_branch_pool_conv, 25, 25, 1, 1, 288, 64, 1,
Mixed_6a_branch3x3_conv, 25, 25, 3, 3, 288, 384, 2,
Mixed_6a_branch3x3dbl_1_conv, 25, 25, 1, 1, 288, 64, 1,
Mixed_6a_branch3x3dbl_2_conv, 25, 25, 3, 3, 64, 96, 1,
Mixed_6a_branch3x3dbl_3_conv, 25, 25, 3, 3, 96, 96, 2,
Mixed_6b_branch1x1_conv, 12, 12, 1, 1, 768, 192, 1,
Mixed_6b_branch7x7_1_conv, 12, 12, 1, 1, 768, 128, 1,
Mixed_6b_branch7x7_2_conv, 12, 12, 1, 7, 128, 128, 1,
Mixed_6b_branch7x7_3_conv, 12, 12, 7, 1, 128, 192, 1,
Mixed_6b_branch7x7dbl_1_conv, 12, 12, 1, 1, 768, 128, 1,
Mixed_6b_branch7x7dbl_2_conv, 12, 12, 7, 1, 128, 128, 1,
Mixed_6b_branch7x7dbl_3_conv, 12, 12, 1, 7, 128, 128, 1,
Mixed_6b_branch7x7dbl_4_conv, 12, 12, 7, 1, 128, 128, 1,
Mixed_6b_branch7x7dbl_5_conv, 12, 12, 1, 7, 128, 192, 1,
Mixed_6b_branch_pool_conv, 12, 12, 1, 1, 768, 192, 1,
Mixed_6c_branch1x1_conv, 12, 12, 1, 1, 768, 192, 1,
Mixed_6c_branch7x7_1_conv, 12, 12, 1, 1, 768, 160, 1,
Mixed_6c_branch7x7_2_conv, 12, 12, 1, 7, 160, 160, 1,
Mixed_6c_branch7x7_3_conv, 12, 12, 7, 1, 160, 192, 1,
Mixed_6c_branch7x7dbl_1_conv, 12, 12, 1, 1, 768, 160, 1,
