Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

layers_0, 224, 224, 3, 3, 3, 32, 2,
layers_3, 112, 112, 3, 3, 32, 32, 1,
layers_6, 112, 112, 1, 1, 32, 16, 1,
layers_8_0_layers_0, 112, 112, 1, 1, 16, 48, 1,
layers_8_0_layers_3, 112, 112, 3, 3, 48, 48, 2,
layers_8_0_layers_6, 56, 56, 1, 1, 48, 24, 1,
layers_8_1_layers_0, 56, 56, 1, 1, 24, 72, 1,
layers_8_1_layers_3, 56, 56, 3, 3, 72, 72, 1,
layers_8_1_layers_6, 56, 56, 1, 1, 72, 24, 1,
layers_8_2_layers_0, 56, 56, 1, 1, 24, 72, 1,
layers_8_2_layers_3, 56, 56, 3, 3, 72, 72, 1,
layers_8_2_layers_6, 56, 56, 1, 1, 72, 24, 1,
layers_9_0_layers_0, 56, 56, 1, 1, 24, 72, 1,
layers_9_0_layers_3, 56, 56, 5, 5, 72, 72, 2,
layers_9_0_layers_6, 28, 28, 1, 1, 72, 40, 1,
layers_9_1_layers_0, 28, 28, 1, 1, 40, 120, 1,
layers_9_1_layers_3, 28, 28, 5, 5, 120, 120, 1,
layers_9_1_layers_6, 28, 28, 1, 1, 120, 40, 1,
layers_9_2_layers_0, 28, 28, 1, 1, 40, 120, 1,
layers_9_2_layers_3, 28, 28, 5, 5, 120, 120, 1,
layers_9_2_layers_6, 28, 28, 1, 1, 120, 40, 1,
layers_10_0_layers_0, 28, 28, 1, 1, 40, 240, 1,
layers_10_0_layers_3, 28, 28, 5, 5, 240, 240, 2,
layers_10_0_layers_6, 14, 14, 1, 1, 240, 80, 1,
layers_10_1_layers_0, 14, 14, 1, 1, 80, 480, 1,
layers_10_1_layers_3, 14, 14, 5, 5, 480, 480, 1,
layers_10_1_layers_6, 14, 14, 1, 1, 480, 80, 1,
layers_10_2_layers_0, 14, 14, 1, 1, 80, 480, 1,
layers_10_2_layers_3, 14, 14, 5, 5, 480, 480, 1,
layers_10_2_layers_6, 14, 14, 1, 1, 480, 80, 1,
layers_11_0_layers_0, 14, 14, 1, 1, 80, 480, 1,
layers_11_0_layers_3, 14, 14, 3, 3, 480, 480, 1,
layers_11_0_layers_6, 14, 14, 1, 1, 480, 96, 1,
layers_11_1_layers_0, 14, 14, 1, 1, 96, 576, 1,
layers_11_1_layers_3, 14, 14, 3, 3, 576, 576, 1,
layers_11_1_layers_6, 14, 14, 1, 1, 576, 96, 1,
layers_12_0_layers_0, 14, 14, 1, 1, 96, 576, 1,
layers_12_0_layers_3, 14, 14, 5, 5, 576, 576, 2,
layers_12_0_layers_6, 7, 7, 1, 1, 576, 192, 1,
layers_12_1_layers_0, 7, 7, 1, 1, 192, 1152, 1,
layers_12_1_layers_3, 7, 7, 5, 5, 1152, 1152, 1,
layers_12_1_layers_6, 7, 7, 1, 1, 1152, 192, 1,
layers_12_2_layers_0, 7, 7, 1, 1, 192, 1152, 1,
layers_12_2_layers_3, 7, 7, 5, 5, 1152, 1152, 1,
layers_12_2_layers_6, 7, 7, 1, 1, 1152, 192, 1,
layers_12_3_layers_0, 7, 7, 1, 1, 192, 1152, 1,
layers_12_3_layers_3, 7, 7, 5, 5, 1152, 1152, 1,
layers_12_3_layers_6, 7, 7, 1, 1, 1152, 192, 1,
layers_13_0_layers_0, 7, 7, 1, 1, 192, 1152, 1,
layers_13_0_layers_3, 7, 7, 3, 3, 1152, 1152, 1,
layers_13_0_layers_6, 7, 7, 1, 1, 1152, 320, 1,
layers_14, 7, 7, 1, 1, 320, 1280, 1,
classifier_1, 1, 1, 1, 1, 1280, 1000, 1,
