Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_0_0, 224, 224, 3, 3, 3, 32, 2,
features_1_conv_0_0, 112, 112, 3, 3, 32, 32, 1,
features_1_conv_1, 112, 112, 1, 1, 32, 16, 1,
features_2_conv_0_0, 112, 112, 1, 1, 16, 96, 1,
features_2_conv_1_0, 112, 112, 3, 3, 96, 96, 2,
features_2_conv_2, 56, 56, 1, 1, 96, 24, 1,
features_3_conv_0_0, 56, 56, 1, 1, 24, 144, 1,
features_3_conv_1_0, 56, 56, 3, 3, 144, 144, 1,
features_3_conv_2, 56, 56, 1, 1, 144, 24, 1,
features_4_conv_0_0, 56, 56, 1, 1, 24, 144, 1,
features_4_conv_1_0, 56, 56, 3, 3, 144, 144, 2,
features_4_conv_2, 28, 28, 1, 1, 144, 32, 1,
features_5_conv_0_0, 28, 28, 1, 1, 32, 192, 1,
features_5_conv_1_0, 28, 28, 3, 3, 192, 192, 1,
features_5_conv_2, 28, 28, 1, 1, 192, 32, 1,
features_6_conv_0_0, 28, 28, 1, 1, 32, 192, 1,
features_6_conv_1_0, 28, 28, 3, 3, 192, 192, 1,
features_6_conv_2, 28, 28, 1, 1, 192, 32, 1,
features_7_conv_0_0, 28, 28, 1, 1, 32, 192, 1,
features_7_conv_1_0, 28, 28, 3, 3, 192, 192, 2,
features_7_conv_2, 14, 14, 1, 1, 192, 64, 1,
features_8_conv_0_0, 14, 14, 1, 1, 64, 384, 1,
features_8_conv_1_0, 14, 14, 3, 3, 384, 384, 1,
features_8_conv_2, 14, 14, 1, 1, 384, 64, 1,
features_9_conv_0_0, 14, 14, 1, 1, 64, 384, 1,
features_9_conv_1_0, 14, 14, 3, 3, 384, 384, 1,
features_9_conv_2, 14, 14, 1, 1, 384, 64, 1,
features_10_conv_0_0, 14, 14, 1, 1, 64, 384, 1,
features_10_conv_1_0, 14, 14, 3, 3, 384, 384, 1,
features_10_conv_2, 14, 14, 1, 1, 384, 64, 1,
features_11_conv_0_0, 14, 14, 1, 1, 64, 384, 1,
features_11_conv_1_0, 14, 14, 3, 3, 384, 384, 1,
features_11_conv_2, 14, 14, 1, 1, 384, 96, 1,
features_12_conv_0_0, 14, 14, 1, 1, 96, 576, 1,
features_12_conv_1_0, 14, 14, 3, 3, 576, 576, 1,
features_12_conv_2, 14, 14, 1, 1, 576, 96, 1,
features_13_conv_0_0, 14, 14, 1, 1, 96, 576, 1,
features_13_conv_1_0, 14, 14, 3, 3, 576, 576, 1,
features_13_conv_2, 14, 14, 1, 1, 576, 96, 1,
features_14_conv_0_0, 14, 14, 1, 1, 96, 576, 1,
features_14_conv_1_0, 14, 14, 3, 3, 576, 576, 2,
features_14_conv_2, 7, 7, 1, 1, 576, 160, 1,
features_15_conv_0_0, 7, 7, 1, 1, 160, 960, 1,
features_15_conv_1_0, 7, 7, 3, 3, 960, 960, 1,
features_15_conv_2, 7, 7, 1, 1, 960, 160, 1,
features_16_conv_0_0, 7, 7, 1, 1, 160, 960, 1,
features_16_conv_1_0, 7, 7, 3, 3, 960, 960, 1,
features_16_conv_2, 7, 7, 1, 1, 960, 160, 1,
features_17_conv_0_0, 7, 7, 1, 1, 160, 960, 1,
features_17_conv_1_0, 7, 7, 3, 3, 960, 960, 1,
features_17_conv_2, 7, 7, 1, 1, 960, 320, 1,
features_18_0, 7, 7, 1, 1, 320, 1280, 1,
classifier_1, 1, 1, 1, 1, 1280, 1000, 1,
