Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_0_0, 224, 224, 3, 3, 3, 16, 2,
features_1_block_0_0, 112, 112, 3, 3, 16, 16, 1,
features_1_block_1_0, 112, 112, 1, 1, 16, 16, 1,
features_2_block_0_0, 112, 112, 1, 1, 16, 64, 1,
features_2_block_1_0, 112, 112, 3, 3, 64, 64, 2,
features_2_block_2_0, 56, 56, 1, 1, 64, 24, 1,
features_3_block_0_0, 56, 56, 1, 1, 24, 72, 1,
features_3_block_1_0, 56, 56, 3, 3, 72, 72, 1,
features_3_block_2_0, 56, 56, 1, 1, 72, 24, 1,
features_4_block_0_0, 56, 56, 1, 1, 24, 72, 1,
features_4_block_1_0, 56, 56, 5, 5, 72, 72, 2,
features_4_block_2_fc1, 1, 1, 1, 1, 72, 24, 1,
features_4_block_2_fc2, 1, 1, 1, 1, 24, 72, 1,
features_4_block_3_0, 28, 28, 1, 1, 72, 40, 1,
features_5_block_0_0, 28, 28, 1, 1, 40, 120, 1,
features_5_block_1_0, 28, 28, 5, 5, 120, 120, 1,
features_5_block_2_fc1, 1, 1, 1, 1, 120, 32, 1,
features_5_block_2_fc2, 1, 1, 1, 1, 32, 120, 1,
features_5_block_3_0, 28, 28, 1, 1, 120, 40, 1,
features_6_block_0_0, 28, 28, 1, 1, 40, 120, 1,
features_6_block_1_0, 28, 28, 5, 5, 120, 120, 1,
features_6_block_2_fc1, 1, 1, 1, 1, 120, 32, 1,
features_6_block_2_fc2, 1, 1, 1, 1, 32, 120, 1,
features_6_block_3_0, 28, 28, 1, 1, 120, 40, 1,
features_7_block_0_0, 28, 28, 1, 1, 40, 240, 1,
features_7_block_1_0, 28, 28, 3, 3, 240, 240, 2,
features_7_block_2_0, 14, 14, 1, 1, 240, 80, 1,
features_8_block_0_0, 14, 14, 1, 1, 80, 200, 1,
features_8_block_1_0, 14, 14, 3, 3, 200, 200, 1,
features_8_block_2_0, 14, 14, 1, 1, 200, 80, 1,
features_9_block_0_0, 14, 14, 1, 1, 80, 184, 1,
features_9_block_1_0, 14, 14, 3, 3, 184, 184, 1,
features_9_block_2_0, 14, 14, 1, 1, 184, 80, 1,
features_10_block_0_0, 14, 14, 1, 1, 80, 184, 1,
features_10_block_1_0, 14, 14, 3, 3, 184, 184, 1,
features_10_block_2_0, 14, 14, 1, 1, 184, 80, 1,
features_11_block_0_0, 14, 14, 1, 1, 80, 480, 1,
features_11_block_1_0, 14, 14, 3, 3, 480, 480, 1,
features_11_block_2_fc1, 1, 1, 1, 1, 480, 120, 1,
features_11_block_2_fc2, 1, 1, 1, 1, 120, 480, 1,
features_11_block_3_0, 14, 14, 1, 1, 480, 112, 1,
features_12_block_0_0, 14, 14, 1, 1, 112, 672, 1,
features_12_block_1_0, 14, 14, 3, 3, 672, 672, 1,
features_12_block_2_fc1, 1, 1, 1, 1, 672, 168, 1,
features_12_block_2_fc2, 1, 1, 1, 1, 168, 672, 1,
features_12_block_3_0, 14, 14, 1, 1, 672, 112, 1,
features_13_block_0_0, 14, 14, 1, 1, 112, 672, 1,
features_13_block_1_0, 14, 14, 5, 5, 672, 672, 2,
features_13_block_2_fc1, 1, 1, 1, 1, 672, 168, 1,
features_13_block_2_fc2, 1, 1, 1, 1, 168, 672, 1,
features_13_block_3_0, 7, 7, 1, 1, 672, 160, 1,
features_14_block_0_0, 7, 7, 1, 1, 160, 960, 1,
features_14_block_1_0, 7, 7, 5, 5, 960, 960, 1,
features_14_block_2_fc1, 1, 1, 1, 1, 960, 240, 1,
features_14_block_2_fc2, 1, 1, 1, 1, 240, 960, 1,
features_14_block_3_0, 7, 7, 1, 1, 960, 160, 1,
features_15_block_0_0, 7, 7, 1, 1, 160, 960, 1,
features_15_block_1_0, 7, 7, 5, 5, 960, 960, 1,
features_15_block_2_fc1, 1, 1, 1, 1, 960, 240, 1,
features_15_block_2_fc2, 1, 1, 1, 1, 240, 960, 1,
features_15_block_3_0, 7, 7, 1, 1, 960, 160, 1,
features_16_0, 7, 7, 1, 1, 160, 960, 1,
classifier_0, 1, 1, 1, 1, 960, 1280, 1,
classifier_3, 1, 1, 1, 1, 1280, 1000, 1,
