Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_0_0, 224, 224, 3, 3, 3, 16, 2,
features_1_block_0_0, 112, 112, 3, 3, 16, 16, 2,
features_1_block_1_fc1, 1, 1, 1, 1, 16, 8, 1,
features_1_block_1_fc2, 1, 1, 1, 1, 8, 16, 1,
features_1_block_2_0, 56, 56, 1, 1, 16, 16, 1,
features_2_block_0_0, 56, 56, 1, 1, 16, 72, 1,
features_2_block_1_0, 56, 56, 3, 3, 72, 72, 2,
features_2_block_2_0, 28, 28, 1, 1, 72, 24, 1,
features_3_block_0_0, 28, 28, 1, 1, 24, 88, 1,
features_3_block_1_0, 28, 28, 3, 3, 88, 88, 1,
features_3_block_2_0, 28, 28, 1, 1, 88, 24, 1,
features_4_block_0_0, 28, 28, 1, 1, 24, 96, 1,
features_4_block_1_0, 28, 28, 5, 5, 96, 96, 2,
features_4_block_2_fc1, 1, 1, 1, 1, 96, 24, 1,
features_4_block_2_fc2, 1, 1, 1, 1, 24, 96, 1,
features_4_block_3_0, 14, 14, 1, 1, 96, 40, 1,
features_5_block_0_0, 14, 14, 1, 1, 40, 240, 1,
features_5_block_1_0, 14, 14, 5, 5, 240, 240, 1,
features_5_block_2_fc1, 1, 1, 1, 1, 240, 64, 1,
features_5_block_2_fc2, 1, 1, 1, 1, 64, 240, 1,
features_5_block_3_0, 14, 14, 1, 1, 240, 40, 1,
features_6_block_0_0, 14, 14, 1, 1, 40, 240, 1,
features_6_block_1_0, 14, 14, 5, 5, 240, 240, 1,
features_6_block_2_fc1, 1, 1, 1, 1, 240, 64, 1,
features_6_block_2_fc2, 1, 1, 1, 1, 64, 240, 1,
features_6_block_3_0, 14, 14, 1, 1, 240, 40, 1,
features_7_block_0_0, 14, 14, 1, 1, 40, 120, 1,
features_7_block_1_0, 14, 14, 5, 5, 120, 120, 1,
features_7_block_2_fc1, 1, 1, 1, 1, 120, 32, 1,
features_7_block_2_fc2, 1, 1, 1, 1, 32, 120, 1,
features_7_block_3_0, 14, 14, 1, 1, 120, 48, 1,
features_8_block_0_0, 14, 14, 1, 1, 48, 144, 1,
features_8_block_1_0, 14, 14, 5, 5, 144, 144, 1,
features_8_block_2_fc1, 1, 1, 1, 1, 144, 40, 1,
features_8_block_2_fc2, 1, 1, 1, 1, 40, 144, 1,
features_8_block_3_0, 14, 14, 1, 1, 144, 48, 1,
features_9_block_0_0, 14, 14, 1, 1, 48, 288, 1,
features_9_block_1_0, 14, 14, 5, 5, 288, 288, 2,
features_9_block_2_fc1, 1, 1, 1, 1, 288, 72, 1,
features_9_block_2_fc2, 1, 1, 1, 1, 72, 288, 1,
features_9_block_3_0, 7, 7, 1, 1, 288, 96, 1,
features_10_block_0_0, 7, 7, 1, 1, 96, 576, 1,
features_10_block_1_0, 7, 7, 5, 5, 576, 576, 1,
features_10_block_2_fc1, 1, 1, 1, 1, 576, 144, 1,
features_10_block_2_fc2, 1, 1, 1, 1, 144, 576, 1,
features_10_block_3_0, 7, 7, 1, 1, 576, 96, 1,
features_11_block_0_0, 7, 7, 1, 1, 96, 576, 1,
features_11_block_1_0, 7, 7, 5, 5, 576, 576, 1,
features_11_block_2_fc1, 1, 1, 1, 1, 576, 144, 1,
features_11_block_2_fc2, 1, 1, 1, 1, 144, 576, 1,
features_11_block_3_0, 7, 7, 1, 1, 576, 96, 1,
features_12_0, 7, 7, 1, 1, 96, 576, 1,
classifier_0, 1, 1, 1, 1, 576, 1024, 1,
classifier_3, 1, 1, 1, 1, 1024, 1000, 1,
