Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

conv1, 224, 224, 7, 7, 3, 64, 2,
layer1_0_conv1, 56, 56, 1, 1, 64, 64, 1,
layer1_0_conv2, 56, 56, 3, 3, 64, 64, 1,
layer1_0_conv3, 56, 56, 1, 1, 64, 256, 1,
layer1_0_downsample_0, 56, 56, 1, 1, 64, 256, 1,
layer1_1_conv1, 56, 56, 1, 1, 256, 64, 1,
layer1_1_conv2, 56, 56, 3, 3, 64, 64, 1,
layer1_1_conv3, 56, 56, 1, 1, 64, 256, 1,
layer1_2_conv1, 56, 56, 1, 1, 256, 64, 1,
layer1_2_conv2, 56, 56, 3, 3, 64, 64, 1,
layer1_2_conv3, 56, 56, 1, 1, 64, 256, 1,
layer2_0_conv1, 56, 56, 1, 1, 256, 128, 1,
layer2_0_conv2, 56, 56, 3, 3, 128, 128, 2,
layer2_0_conv3, 28, 28, 1, 1, 128, 512, 1,
layer2_0_downsample_0, 56, 56, 1, 1, 256, 512, 2,
layer2_1_conv1, 28, 28, 1, 1, 512, 128, 1,
layer2_1_conv2, 28, 28, 3, 3, 128, 128, 1,
layer2_1_conv3, 28, 28, 1, 1, 128, 512, 1,
layer2_2_conv1, 28, 28, 1, 1, 512, 128, 1,
layer2_2_conv2, 28, 28, 3, 3, 128, 128, 1,
layer2_2_conv3, 28, 28, 1, 1, 128, 512, 1,
layer2_3_conv1, 28, 28, 1, 1, 512, 128, 1,
layer2_3_conv2, 28, 28, 3, 3, 128, 128, 1,
layer2_3_conv3, 28, 28, 1, 1, 128, 512, 1,
layer3_0_conv1, 28, 28, 1, 1, 512, 256, 1,
layer3_0_conv2, 28, 28, 3, 3, 256, 256, 2,
layer3_0_conv3, 14, 14, 1, 1, 256, 1024, 1,
layer3_0_downsample_0, 28, 28, 1, 1, 512, 1024, 2,
layer3_1_conv1, 14, 14, 1, 1, 1024, 256, 1,
layer3_1_conv2, 14, 14, 3, 3, 256, 256, 1,
layer3_1_conv3, 14, 14, 1, 1, 256, 1024, 1,
layer3_2_conv1, 14, 14, 1, 1, 1024, 256, 1,
layer3_2_conv2, 14, 14, 3, 3, 256, 256, 1,
layer3_2_conv3, 14, 14, 1, 1, 256, 1024, 1,
layer3_3_conv1, 14, 14, 1, 1, 1024, 256, 1,
layer3_3_conv2, 14, 14, 3, 3, 256, 256, 1,
layer3_3_conv3, 14, 14, 1, 1, 256, 1024, 1,
layer3_4_conv1, 14, 14, 1, 1, 1024, 256, 1,
layer3_4_conv2, 14, 14, 3, 3, 256, 256, 1,
layer3_4_conv3, 14, 14, 1, 1, 256, 1024, 1,
layer3_5_conv1, 14, 14, 1, 1, 1024, 256, 1,
layer3_5_conv2, 14, 14, 3, 3, 256, 256, 1,
layer3_5_conv3, 14, 14, 1, 1, 256, 1024, 1,
layer4_0_conv1, 14, 14, 1, 1, 1024, 512, 1,
layer4_0_conv2, 14, 14, 3, 3, 512, 512, 2,
layer4_0_conv3, 7, 7, 1, 1, 512, 2048, 1,
layer4_0_downsample_0, 14, 14, 1, 1, 1024, 2048, 2,
layer4_1_conv1, 7, 7, 1, 1, 2048, 512, 1,
layer4_1_conv2, 7, 7, 3, 3, 512, 512, 1,
layer4_1_conv3, 7, 7, 1, 1, 512, 2048, 1,
layer4_2_conv1, 7, 7, 1, 1, 2048, 512, 1,
layer4_2_conv2, 7, 7, 3, 3, 512, 512, 1,
layer4_2_conv3, 7, 7, 1, 1, 512, 2048, 1,
fc, 1, 1, 1, 1, 2048, 1000, 1,
