Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

conv1_0, 224, 224, 3, 3, 3, 24, 2,
stage2_0_branch1_0, 56, 56, 3, 3, 24, 24, 2,
stage2_0_branch1_2, 28, 28, 1, 1, 24, 24, 1,
stage2_0_branch2_0, 56, 56, 1, 1, 24, 24, 1,
stage2_0_branch2_3, 56, 56, 3, 3, 24, 24, 2,
stage2_0_branch2_5, 28, 28, 1, 1, 24, 24, 1,
stage2_1_branch2_0, 28, 28, 1, 1, 24, 24, 1,
stage2_1_branch2_3, 28, 28, 3, 3, 24, 24, 1,
stage2_1_branch2_5, 28, 28, 1, 1, 24, 24, 1,
stage2_2_branch2_0, 28, 28, 1, 1, 24, 24, 1,
stage2_2_branch2_3, 28, 28, 3, 3, 24, 24, 1,
stage2_2_branch2_5, 28, 28, 1, 1, 24, 24, 1,
stage2_3_branch2_0, 28, 28, 1, 1, 24, 24, 1,
stage2_3_branch2_3, 28, 28, 3, 3, 24, 24, 1,
stage2_3_branch2_5, 28, 28, 1, 1, 24, 24, 1,
stage3_0_branch1_0, 28, 28, 3, 3, 48, 48, 2,
stage3_0_branch1_2, 14, 14, 1, 1, 48, 48, 1,
stage3_0_branch2_0, 28, 28, 1, 1, 48, 48, 1,
stage3_0_branch2_3, 28, 28, 3, 3, 48, 48, 2,
stage3_0_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage3_1_branch2_0, 14, 14, 1, 1, 48, 48, 1,
stage3_1_branch2_3, 14, 14, 3, 3, 48, 48, 1,
stage3_1_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage3_2_branch2_0, 14, 14, 1, 1, 48, 48, 1,
stage3_2_branch2_3, 14, 14, 3, 3, 48, 48, 1,
stage3_2_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage3_3_branch2_0, 14, 14, 1, 1, 48, 48, 1,
stage3_3_branch2_3, 14, 14, 3, 3, 48, 48, 1,
stage3_3_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage3_4_branch2_0, 14, 14, 1, 1, 48, 48, 1,
stage3_4_branch2_3, 14, 14, 3, 3, 48, 48, 1,
stage3_4_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage3_5_branch2_0, 14, 14, 1, 1, 48, 48, 1,
stage3_5_branch2_3, 14, 14, 3, 3, 48, 48, 1,
stage3_5_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage3_6_branch2_0, 14, 14, 1, 1, 48, 48, 1,
stage3_6_branch2_3, 14, 14, 3, 3, 48, 48, 1,
stage3_6_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage3_7_branch2_0, 14, 14, 1, 1, 48, 48, 1,
stage3_7_branch2_3, 14, 14, 3, 3, 48, 48, 1,
stage3_7_branch2_5, 14, 14, 1, 1, 48, 48, 1,
stage4_0_branch1_0, 14, 14, 3, 3, 96, 96, 2,
stage4_0_branch1_2, 7, 7, 1, 1, 96, 96, 1,
stage4_0_branch2_0, 14, 14, 1, 1, 96, 96, 1,
stage4_0_branch2_3, 14, 14, 3, 3, 96, 96, 2,
stage4_0_branch2_5, 7, 7, 1, 1, 96, 96, 1,
stage4_1_branch2_0, 7, 7, 1, 1, 96, 96, 1,
stage4_1_branch2_3, 7, 7, 3, 3, 96, 96, 1,
stage4_1_branch2_5, 7, 7, 1, 1, 96, 96, 1,
stage4_2_branch2_0, 7, 7, 1, 1, 96, 96, 1,
stage4_2_branch2_3, 7, 7, 3, 3, 96, 96, 1,
stage4_2_branch2_5, 7, 7, 1, 1, 96, 96, 1,
stage4_3_branch2_0, 7, 7, 1, 1, 96, 96, 1,
stage4_3_branch2_3, 7, 7, 3, 3, 96, 96, 1,
stage4_3_branch2_5, 7, 7, 1, 1, 96, 96, 1,
conv5_0, 7, 7, 1, 1, 192, 1024, 1,
fc, 1, 1, 1, 1, 1024, 1000, 1,
