Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_0, 224, 224, 7, 7, 3, 96, 2,
features_3_squeeze, 54, 54, 1, 1, 96, 16, 1,
features_3_expand1x1, 54, 54, 1, 1, 16, 64, 1,
features_3_expand3x3, 54, 54, 3, 3, 16, 64, 1,
features_4_squeeze, 54, 54, 1, 1, 128, 16, 1,
features_4_expand1x1, 54, 54, 1, 1, 16, 64, 1,
features_4_expand3x3, 54, 54, 3, 3, 16, 64, 1,
features_5_squeeze, 54, 54, 1, 1, 128, 32, 1,
features_5_expand1x1, 54, 54, 1, 1, 32, 128, 1,
features_5_expand3x3, 54, 54, 3, 3, 32, 128, 1,
features_7_squeeze, 27, 27, 1, 1, 256, 32, 1,
features_7_expand1x1, 27, 27, 1, 1, 32, 128, 1,
features_7_expand3x3, 27, 27, 3, 3, 32, 128, 1,
features_8_squeeze, 27, 27, 1, 1, 256, 48, 1,
features_8_expand1x1, 27, 27, 1, 1, 48, 192, 1,
features_8_expand3x3, 27, 27, 3, 3, 48, 192, 1,
features_9_squeeze, 27, 27, 1, 1, 384, 48, 1,
features_9_expand1x1, 27, 27, 1, 1, 48, 192, 1,
features_9_expand3x3, 27, 27, 3, 3, 48, 192, 1,
features_10_squeeze, 27, 27, 1, 1, 384, 64, 1,
features_10_expand1x1, 27, 27, 1, 1, 64, 256, 1,
features_10_expand3x3, 27, 27, 3, 3, 64, 256, 1,
features_12_squeeze, 13, 13, 1, 1, 512, 64, 1,
features_12_expand1x1, 13, 13, 1, 1, 64, 256, 1,
features_12_expand3x3, 13, 13, 3, 3, 64, 256, 1,
classifier_1, 13, 13, 1, 1, 512, 1000, 1,
